latitude;longitude;speed;date;incr. Lat. (m);incr. Lon. (m);ATAN2;Direccion;Cambio;;De M laga a C ceres en coche;
39.47374667;-6.37270667;0;Thu Jun 14 19:37:33 GMT+02:00 2018;30.37;-1.00;1.60374077;N;****;;  paradas en Sevilla y de camino;
39.47347333;-6.372695;0;Thu Jun 14 19:37:27 GMT+02:00 2018;1.48;30.16;0.04906528;E;****;;  paseo breve por C ceres ( creo);
39.47346;-6.37304667;0;Thu Jun 14 19:37:06 GMT+02:00 2018;-13.89;-29.45;-2.70088583;W;****;;;
39.473585;-6.37270333;1.04;Thu Jun 14 19:36:07 GMT+02:00 2018;23.15;29.45;0.66618227;E;****;;N;8221
39.47337667;-6.37304667;1.109;Thu Jun 14 19:34:01 GMT+02:00 2018;30.37;2.57;1.48627696;N;;;W;4292
39.47310333;-6.37307667;1.175;Thu Jun 14 19:33:31 GMT+02:00 2018;34.26;-5.86;1.74024971;N;;;S;138
39.472795;-6.37300833;0;Thu Jun 14 19:33:08 GMT+02:00 2018;29.26;6.72;1.34506320;N;;;E;279
39.47253167;-6.37308667;0;Thu Jun 14 19:32:47 GMT+02:00 2018;30.74;-2.43;1.64970313;N;****;;;
39.472255;-6.37305833;0;Thu Jun 14 19:32:26 GMT+02:00 2018;13.52;-31.02;2.73059674;W;;;;
39.47213333;-6.37269667;1.258;Thu Jun 14 19:31:57 GMT+02:00 2018;6.48;-29.88;2.92797796;W;;;;
39.472075;-6.37234833;1.583;Thu Jun 14 19:31:40 GMT+02:00 2018;23.52;-20.58;2.28976971;N;;;;
39.47186333;-6.37210833;1.258;Thu Jun 14 19:31:13 GMT+02:00 2018;27.96;-12.44;1.98929391;N;;;;
39.47161167;-6.37196333;0.618;Thu Jun 14 19:30:52 GMT+02:00 2018;37.22;-2.72;1.64362172;N;****;;;
39.47127667;-6.37193167;1.282;Thu Jun 14 19:30:12 GMT+02:00 2018;18.15;-24.30;2.50014943;W;;;;
39.47111333;-6.37164833;1.069;Thu Jun 14 19:29:44 GMT+02:00 2018;18.70;-23.59;2.47117032;W;;;;
39.470945;-6.37137333;0;Thu Jun 14 19:29:12 GMT+02:00 2018;20.56;-29.73;2.53671575;W;;;;
39.47076;-6.37102667;1.166;Thu Jun 14 19:28:42 GMT+02:00 2018;22.04;-22.16;2.35894969;W;;;;
39.47056167;-6.37076833;0;Thu Jun 14 19:28:15 GMT+02:00 2018;29.44;-7.58;1.82264154;N;;;;
39.47029667;-6.37068;0;Thu Jun 14 19:27:42 GMT+02:00 2018;29.82;-6.86;1.79700054;N;****;;;
