latitude;longitude;speed;date;;;;;;;;;
36.69814718;-4.450696815;1.401992917;Thu May 03 19:11:33 GMT+02:00 2018;;;;;;;;;
36.69842093;-4.450494616;2.655478477;Thu May 03 19:11:30 GMT+02:00 2018;;;;latitude;longitude;;;;
36.69807972;-4.450910841;2.191462278;Thu May 03 19:06:05 GMT+02:00 2018;;;;36.69846322;-4.450395977;;;;
36.69829469;-4.450687722;1.44117105;Thu May 03 19:05:57 GMT+02:00 2018;;;;;;;;;
36.69847753;-4.450412899;0.77453965;Thu May 03 19:02:40 GMT+02:00 2018;;;;;;;;;
36.6982079;-4.450525576;1.630065441;Thu May 03 19:02:37 GMT+02:00 2018;;;;;;;;;
36.69855209;-4.450181566;1.146269321;Thu May 03 19:02:31 GMT+02:00 2018;;;;;;;;;
36.69817742;-4.450552423;1.162733555;Thu May 03 19:01:14 GMT+02:00 2018;;;;;;;;;
36.69882821;-4.450094795;1.841304183;Thu May 03 19:01:04 GMT+02:00 2018;;;;latitude;longitude;;;;
36.69918039;-4.449647293;2.239842176;Thu May 03 19:01:02 GMT+02:00 2018;;;;36.6985;-4.4504;;;;
36.69892053;-4.44989663;3.867821693;Thu May 03 19:00:57 GMT+02:00 2018;;;;;;;;;
36.69827205;-4.450650542;1.271037936;Thu May 03 18:45:32 GMT+02:00 2018;;;;;;;;;
36.71863413;-4.432385144;52.92954254;Thu May 03 14:01:15 GMT+02:00 2018;;;;fin trabajo;;;;;
36.71858137;-4.433032236;7.483236313;Thu May 03 14:01:12 GMT+02:00 2018;;;;;;;;;
36.71858842;-4.43229777;1.48928237;Thu May 03 14:01:10 GMT+02:00 2018;;;;;;;;;
36.71821774;-4.431986443;0.430788219;Thu May 03 13:59:05 GMT+02:00 2018;;;;;;;latitude;longitude;speed
36.71845366;-4.432155421;0.759668171;Thu May 03 12:09:04 GMT+02:00 2018;;;;;;;36.71863413;-4.432385144;52.92954254
36.71817861;-4.431832536;1.863741994;Thu May 03 12:02:54 GMT+02:00 2018;;;;;;;36.71858137;-4.433032236;7.483236313
36.71885527;-4.43225212;4.871635914;Thu May 03 12:02:52 GMT+02:00 2018;;;;;;;36.71858842;-4.43229777;1.48928237
36.71831925;-4.431818767;0.25938493;Thu May 03 11:57:03 GMT+02:00 2018;;;;;;;36.71821774;-4.431986443;0.430788219
36.71858316;-4.432036011;1.174482107;Thu May 03 11:57:02 GMT+02:00 2018;;;;;;;36.71845366;-4.432155421;0.759668171
36.71835134;-4.431615066;0.281667978;Thu May 03 11:57:01 GMT+02:00 2018;;;;;;;36.71817861;-4.431832536;1.863741994
36.71837417;-4.432066298;0.15919134;Thu May 03 11:51:48 GMT+02:00 2018;;;;;;;36.71885527;-4.43225212;4.871635914
36.71807753;-4.431921385;2.941614628;Thu May 03 11:51:44 GMT+02:00 2018;;;;;;;36.71831925;-4.431818767;0.25938493
36.71845321;-4.43213568;0.830866635;Thu May 03 11:29:46 GMT+02:00 2018;;;;;;;36.71858316;-4.432036011;1.174482107
36.71872449;-4.432259205;11.53003025;Thu May 03 11:26:46 GMT+02:00 2018;;;;;;;36.71835134;-4.431615066;0.281667978
36.71904443;-4.432305943;0.33087498;Thu May 03 11:26:16 GMT+02:00 2018;;;;;;;36.71837417;-4.432066298;0.15919134
36.71835085;-4.43220565;0.554287493;Thu May 03 11:17:51 GMT+02:00 2018;;;;;;;36.71807753;-4.431921385;2.941614628
36.7180716;-4.432118206;0.770796716;Thu May 03 11:13:25 GMT+02:00 2018;;;;;;;36.71845321;-4.43213568;0.830866635
36.71850844;-4.431986578;1.274368286;Thu May 03 11:13:24 GMT+02:00 2018;;;;;;;36.71872449;-4.432259205;11.53003025
36.71785838;-4.432211755;0.964178324;Thu May 03 11:13:23 GMT+02:00 2018;;;;;;;36.71904443;-4.432305943;0.33087498
36.71849612;-4.432018592;0.171996281;Thu May 03 10:53:59 GMT+02:00 2018;;;;;;;36.71835085;-4.43220565;0.554287493
36.7187369;-4.431795058;0.424153239;Thu May 03 10:53:57 GMT+02:00 2018;;;;;;;36.7180716;-4.432118206;0.770796716
36.71840195;-4.432169591;0.216989189;Thu May 03 10:48:43 GMT+02:00 2018;;;;;;;36.71850844;-4.431986578;1.274368286
36.71855402;-4.431854285;1.304514408;Thu May 03 10:48:41 GMT+02:00 2018;;;;;;;36.71785838;-4.432211755;0.964178324
36.71826792;-4.432043922;1.056955934;Thu May 03 09:56:46 GMT+02:00 2018;;;;empieza;;;36.71849612;-4.432018592;0.171996281
36.71853672;-4.431954222;0.244200856;Thu May 03 09:55:41 GMT+02:00 2018;;;;;;;36.7187369;-4.431795058;0.424153239
36.71861662;-4.432310922;0.485814095;Thu May 03 09:55:36 GMT+02:00 2018;;;;;;;36.71840195;-4.432169591;0.216989189
36.71821526;-4.431523838;3.505502701;Thu May 03 09:53:49 GMT+02:00 2018;;;;;;;36.71855402;-4.431854285;1.304514408
36.71816275;-4.431179359;3.110861063;Thu May 03 09:53:41 GMT+02:00 2018;;;;;;;36.71826792;-4.432043922;1.056955934
36.71806952;-4.43083894;0.706530571;Thu May 03 09:53:32 GMT+02:00 2018;;;;;;;;;
